State,Politics,Consumer,units,Month,Cost,PercentWind,PercentSolar
Alabama,Red,industrial,cents per kilowatthour,Nov,7.21,0,0.006122265
Alabama,Red,industrial,cents per kilowatthour,Dec,7.3,0,0.005486158
Alabama,Red,residential,cents per kilowatthour,Jan,14.44,0,0.004940789
Alabama,Red,residential,cents per kilowatthour,Feb,15.04,0,0.008311955
Alabama,Red,residential,cents per kilowatthour,Mar,15.91,0,0.010209343
Alabama,Red,residential,cents per kilowatthour,Apr,15.89,0,0.011649719
Alabama,Red,residential,cents per kilowatthour,May,14.76,0,0.011383692
Alabama,Red,residential,cents per kilowatthour,Jun,15.06,0,0.011377489
Alabama,Red,residential,cents per kilowatthour,Jul,14.97,0,0.009411765
Alabama,Red,residential,cents per kilowatthour,Aug,14.9,0,0.010781869
Alabama,Red,residential,cents per kilowatthour,Sep,15.39,0,0.008599722
Alabama,Red,residential,cents per kilowatthour,Oct,15.58,0,0.01118464
Alabama,Red,residential,cents per kilowatthour,Nov,15.51,0,0.006122265
Alabama,Red,residential,cents per kilowatthour,Dec,14.91,0,0.005486158
Alaska,Red,all sectors,cents per kilowatthour,Jan,21.8,0.019572954,0
Alaska,Red,all sectors,cents per kilowatthour,Feb,20.93,0.022633745,0
Alaska,Red,all sectors,cents per kilowatthour,Mar,22.5,0.026748971,0
Alaska,Red,all sectors,cents per kilowatthour,Apr,22.15,0.029279279,0
Alaska,Red,all sectors,cents per kilowatthour,May,22.01,0.020491803,0
Alaska,Red,all sectors,cents per kilowatthour,Jun,22.53,0.019646365,0
Alaska,Red,all sectors,cents per kilowatthour,Jul,22.06,0,0
Alaska,Red,all sectors,cents per kilowatthour,Aug,25.07,0,0
Alaska,Red,all sectors,cents per kilowatthour,Sep,22.04,0,0
Alaska,Red,all sectors,cents per kilowatthour,Oct,22.41,0.025641026,0
Alaska,Red,all sectors,cents per kilowatthour,Nov,22.28,0.024896266,0
Alaska,Red,all sectors,cents per kilowatthour,Dec,19.62,0.022770398,0
Alaska,Red,commercial,cents per kilowatthour,Jan,21.27,0.019572954,0
Alaska,Red,commercial,cents per kilowatthour,Feb,21.11,0.022633745,0
Alaska,Red,commercial,cents per kilowatthour,Mar,21.25,0.026748971,0
Alaska,Red,commercial,cents per kilowatthour,Apr,21.54,0.029279279,0
Alaska,Red,commercial,cents per kilowatthour,May,21.06,0.020491803,0
Alaska,Red,commercial,cents per kilowatthour,Jun,21.77,0.019646365,0
Alaska,Red,commercial,cents per kilowatthour,Jul,21.15,0,0
Alaska,Red,commercial,cents per kilowatthour,Aug,25.39,0,0
Alaska,Red,commercial,cents per kilowatthour,Sep,21.73,0,0
Alaska,Red,commercial,cents per kilowatthour,Oct,21.78,0.025641026,0
Alaska,Red,commercial,cents per kilowatthour,Nov,21.16,0.024896266,0
Alaska,Red,commercial,cents per kilowatthour,Dec,18.43,0.022770398,0
Alaska,Red,industrial,cents per kilowatthour,Jan,19.11,0.019572954,0
Alaska,Red,industrial,cents per kilowatthour,Feb,16.94,0.022633745,0
Alaska,Red,industrial,cents per kilowatthour,Mar,21.37,0.026748971,0
Alaska,Red,industrial,cents per kilowatthour,Apr,19.42,0.029279279,0
Alaska,Red,industrial,cents per kilowatthour,May,19.75,0.020491803,0
Alaska,Red,industrial,cents per kilowatthour,Jun,20.41,0.019646365,0
Alaska,Red,industrial,cents per kilowatthour,Jul,19.15,0,0
Alaska,Red,industrial,cents per kilowatthour,Aug,20.47,0,0
Alaska,Red,industrial,cents per kilowatthour,Sep,17.99,0,0
Alaska,Red,industrial,cents per kilowatthour,Oct,19.33,0.025641026,0
Alaska,Red,industrial,cents per kilowatthour,Nov,20.43,0.024896266,0
Alaska,Red,industrial,cents per kilowatthour,Dec,17.15,0.022770398,0
Alaska,Red,residential,cents per kilowatthour,Jan,23.78,0.019572954,0
Alaska,Red,residential,cents per kilowatthour,Feb,22.89,0.022633745,0
Alaska,Red,residential,cents per kilowatthour,Mar,24.71,0.026748971,0
Alaska,Red,residential,cents per kilowatthour,Apr,24.89,0.029279279,0
Alaska,Red,residential,cents per kilowatthour,May,25.02,0.020491803,0
Alaska,Red,residential,cents per kilowatthour,Jun,25.4,0.019646365,0
Alaska,Red,residential,cents per kilowatthour,Jul,25.65,0,0
Alaska,Red,residential,cents per kilowatthour,Aug,28.19,0,0
Alaska,Red,residential,cents per kilowatthour,Sep,25.7,0,0
Alaska,Red,residential,cents per kilowatthour,Oct,25.52,0.025641026,0
Alaska,Red,residential,cents per kilowatthour,Nov,24.7,0.024896266,0
Alaska,Red,residential,cents per kilowatthour,Dec,22.38,0.022770398,0
Arizona,Red,all sectors,cents per kilowatthour,Jan,11.95,0.013835511,0.053914571
Arizona,Red,all sectors,cents per kilowatthour,Feb,12.04,0.024381095,0.071892973
Arizona,Red,all sectors,cents per kilowatthour,Mar,12.06,0.027847782,0.09375
Arizona,Red,all sectors,cents per kilowatthour,Apr,12.42,0.025341648,0.121533767
Arizona,Red,all sectors,cents per kilowatthour,May,13.14,0.03125713,0.124115902
Arizona,Red,all sectors,cents per kilowatthour,Jun,13.42,0.02470957,0.10870367
Arizona,Red,all sectors,cents per kilowatthour,Jul,13.56,0.017245471,0.096748675
Arizona,Red,all sectors,cents per kilowatthour,Aug,13.42,0.018984796,0.092912879
Arizona,Red,all sectors,cents per kilowatthour,Sep,13.06,0.016960029,0.096993033
Arizona,Red,all sectors,cents per kilowatthour,Oct,12.82,0.019321253,0.093502853
Arizona,Red,all sectors,cents per kilowatthour,Nov,12.23,0.029317125,0.084971994
Arizona,Red,all sectors,cents per kilowatthour,Dec,12.34,0.019719498,0.068965517
Arizona,Red,commercial,cents per kilowatthour,Jan,11.5,0.013835511,0.053914571
Arizona,Red,commercial,cents per kilowatthour,Feb,11.54,0.024381095,0.071892973
Arizona,Red,commercial,cents per kilowatthour,Mar,11.8,0.027847782,0.09375
Arizona,Red,commercial,cents per kilowatthour,Apr,12.2,0.025341648,0.121533767
Arizona,Red,commercial,cents per kilowatthour,May,12.86,0.03125713,0.124115902
Arizona,Red,commercial,cents per kilowatthour,Jun,12.97,0.02470957,0.10870367
Arizona,Red,commercial,cents per kilowatthour,Jul,13.12,0.017245471,0.096748675
Arizona,Red,commercial,cents per kilowatthour,Aug,12.77,0.018984796,0.092912879
Arizona,Red,commercial,cents per kilowatthour,Sep,12.44,0.016960029,0.096993033
Arizona,Red,commercial,cents per kilowatthour,Oct,12.35,0.019321253,0.093502853
Arizona,Red,commercial,cents per kilowatthour,Nov,11.89,0.029317125,0.084971994
Arizona,Red,commercial,cents per kilowatthour,Dec,11.92,0.019719498,0.068965517
Arizona,Red,industrial,cents per kilowatthour,Jan,7.78,0.013835511,0.053914571
Arizona,Red,industrial,cents per kilowatthour,Feb,8.31,0.024381095,0.071892973
Arizona,Red,industrial,cents per kilowatthour,Mar,7.28,0.027847782,0.09375
Arizona,Red,industrial,cents per kilowatthour,Apr,7.26,0.025341648,0.121533767
Arizona,Red,industrial,cents per kilowatthour,May,7.88,0.03125713,0.124115902
Arizona,Red,industrial,cents per kilowatthour,Jun,8.23,0.02470957,0.10870367
Arizona,Red,industrial,cents per kilowatthour,Jul,9.15,0.017245471,0.096748675
Arizona,Red,industrial,cents per kilowatthour,Aug,9.37,0.018984796,0.092912879
Arizona,Red,industrial,cents per kilowatthour,Sep,8.08,0.016960029,0.096993033
Arizona,Red,industrial,cents per kilowatthour,Oct,7.75,0.019321253,0.093502853
Arizona,Red,industrial,cents per kilowatthour,Nov,7.76,0.029317125,0.084971994
Arizona,Red,industrial,cents per kilowatthour,Dec,7.37,0.019719498,0.068965517
Arizona,Red,residential,cents per kilowatthour,Jan,14.1,0.013835511,0.053914571
Arizona,Red,residential,cents per kilowatthour,Feb,14.46,0.024381095,0.071892973
Arizona,Red,residential,cents per kilowatthour,Mar,14.94,0.027847782,0.09375
Arizona,Red,residential,cents per kilowatthour,Apr,15.24,0.025341648,0.121533767
Arizona,Red,residential,cents per kilowatthour,May,15.49,0.03125713,0.124115902
Arizona,Red,residential,cents per kilowatthour,Jun,15.14,0.02470957,0.10870367
Arizona,Red,residential,cents per kilowatthour,Jul,14.85,0.017245471,0.096748675
Arizona,Red,residential,cents per kilowatthour,Aug,14.85,0.018984796,0.092912879
Arizona,Red,residential,cents per kilowatthour,Sep,14.95,0.016960029,0.096993033
Arizona,Red,residential,cents per kilowatthour,Oct,15.02,0.019321253,0.093502853
Arizona,Red,residential,cents per kilowatthour,Nov,15.18,0.029317125,0.084971994
Arizona,Red,residential,cents per kilowatthour,Dec,15.2,0.019719498,0.068965517
Arkansas,Red,all sectors,cents per kilowatthour,Jan,9.64,0,0.011131725
Arkansas,Red,all sectors,cents per kilowatthour,Feb,9.55,0,0.027494908
Arkansas,Red,all sectors,cents per kilowatthour,Mar,9.47,0,0.032302093
Arkansas,Red,all sectors,cents per kilowatthour,Apr,9.07,0,0.043381535
Arkansas,Red,all sectors,cents per kilowatthour,May,9,0,0.044429409
Arkansas,Red,all sectors,cents per kilowatthour,Jun,9.59,0,0.039588949
Arkansas,Red,all sectors,cents per kilowatthour,Jul,9.94,0,0.036938488
Arkansas,Red,all sectors,cents per kilowatthour,Aug,9.91,0,0.038539872
Arkansas,Red,all sectors,cents per kilowatthour,Sep,9.87,0,0.035344302
Arkansas,Red,all sectors,cents per kilowatthour,Oct,9.41,0,0.063939821
Arkansas,Red,all sectors,cents per kilowatthour,Nov,9.39,0,0.046126849
Arkansas,Red,all sectors,cents per kilowatthour,Dec,9.22,0,0.037383178
Arkansas,Red,commercial,cents per kilowatthour,Jan,10.27,0,0.011131725
Arkansas,Red,commercial,cents per kilowatthour,Feb,10.54,0,0.027494908
Arkansas,Red,commercial,cents per kilowatthour,Mar,10.7,0,0.032302093
Arkansas,Red,commercial,cents per kilowatthour,Apr,10.22,0,0.043381535
Arkansas,Red,commercial,cents per kilowatthour,May,10.06,0,0.044429409
Arkansas,Red,commercial,cents per kilowatthour,Jun,10.03,0,0.039588949
Arkansas,Red,commercial,cents per kilowatthour,Jul,10.11,0,0.036938488
Arkansas,Red,commercial,cents per kilowatthour,Aug,10.09,0,0.038539872
Arkansas,Red,commercial,cents per kilowatthour,Sep,10.13,0,0.035344302
Arkansas,Red,commercial,cents per kilowatthour,Oct,10.42,0,0.063939821
Arkansas,Red,commercial,cents per kilowatthour,Nov,10.12,0,0.046126849
Arkansas,Red,commercial,cents per kilowatthour,Dec,10.11,0,0.037383178
Arkansas,Red,industrial,cents per kilowatthour,Jan,7.09,0,0.011131725
Arkansas,Red,industrial,cents per kilowatthour,Feb,6.34,0,0.027494908
Arkansas,Red,industrial,cents per kilowatthour,Mar,6.22,0,0.032302093
Arkansas,Red,industrial,cents per kilowatthour,Apr,5.86,0,0.043381535
Arkansas,Red,industrial,cents per kilowatthour,May,5.92,0,0.044429409
Arkansas,Red,industrial,cents per kilowatthour,Jun,6.52,0,0.039588949
Arkansas,Red,industrial,cents per kilowatthour,Jul,6.94,0,0.036938488
Arkansas,Red,industrial,cents per kilowatthour,Aug,6.96,0,0.038539872
Arkansas,Red,industrial,cents per kilowatthour,Sep,6.77,0,0.035344302
Arkansas,Red,industrial,cents per kilowatthour,Oct,6.67,0,0.063939821
Arkansas,Red,industrial,cents per kilowatthour,Nov,6.72,0,0.046126849
Arkansas,Red,industrial,cents per kilowatthour,Dec,6.39,0,0.037383178
Arkansas,Red,residential,cents per kilowatthour,Jan,11.26,0,0.011131725
Arkansas,Red,residential,cents per kilowatthour,Feb,11.92,0,0.027494908
Arkansas,Red,residential,cents per kilowatthour,Mar,12.9,0,0.032302093
Arkansas,Red,residential,cents per kilowatthour,Apr,12.62,0,0.043381535
Arkansas,Red,residential,cents per kilowatthour,May,12.29,0,0.044429409
Arkansas,Red,residential,cents per kilowatthour,Jun,12.38,0,0.039588949
Arkansas,Red,residential,cents per kilowatthour,Jul,12.43,0,0.036938488
Arkansas,Red,residential,cents per kilowatthour,Aug,12.5,0,0.038539872
Arkansas,Red,residential,cents per kilowatthour,Sep,12.8,0,0.035344302
Arkansas,Red,residential,cents per kilowatthour,Oct,11.9,0,0.063939821
Arkansas,Red,residential,cents per kilowatthour,Nov,12.62,0,0.046126849
Arkansas,Red,residential,cents per kilowatthour,Dec,11.74,0,0.037383178
California,Blue,all sectors,cents per kilowatthour,Jan,24.77,0.062746048,0.131366967
California,Blue,all sectors,cents per kilowatthour,Feb,25.55,0.082775577,0.172790602
California,Blue,all sectors,cents per kilowatthour,Mar,25.96,0.094948097,0.227750865
California,Blue,all sectors,cents per kilowatthour,Apr,25.7,0.100897971,0.298027293
California,Blue,all sectors,cents per kilowatthour,May,26.43,0.09834884,0.333049404
California,Blue,all sectors,cents per kilowatthour,Jun,27.73,0.083023615,0.313682886
California,Blue,all sectors,cents per kilowatthour,Jul,30.44,0.05133345,0.238582883
California,Blue,all sectors,cents per kilowatthour,Aug,29.14,0.05759311,0.251384222
California,Blue,all sectors,cents per kilowatthour,Sep,29.27,0.055628993,0.248898436
California,Blue,all sectors,cents per kilowatthour,Oct,27.93,0.067768497,0.226763817
California,Blue,all sectors,cents per kilowatthour,Nov,23.05,0.083434705,0.201359571
California,Blue,all sectors,cents per kilowatthour,Dec,25.16,0.075504283,0.180022106
California,Blue,commercial,cents per kilowatthour,Jan,23.03,0.062746048,0.131366967
California,Blue,commercial,cents per kilowatthour,Feb,23.65,0.082775577,0.172790602
California,Blue,commercial,cents per kilowatthour,Mar,23.68,0.094948097,0.227750865
California,Blue,commercial,cents per kilowatthour,Apr,22.79,0.100897971,0.298027293
California,Blue,commercial,cents per kilowatthour,May,23.71,0.09834884,0.333049404
California,Blue,commercial,cents per kilowatthour,Jun,26.06,0.083023615,0.313682886
California,Blue,commercial,cents per kilowatthour,Jul,30.28,0.05133345,0.238582883
California,Blue,commercial,cents per kilowatthour,Aug,29,0.05759311,0.251384222
California,Blue,commercial,cents per kilowatthour,Sep,29.14,0.055628993,0.248898436
California,Blue,commercial,cents per kilowatthour,Oct,27.74,0.067768497,0.226763817
California,Blue,commercial,cents per kilowatthour,Nov,18.18,0.083434705,0.201359571
California,Blue,commercial,cents per kilowatthour,Dec,23.13,0.075504283,0.180022106
California,Blue,industrial,cents per kilowatthour,Jan,18.43,0.062746048,0.131366967
California,Blue,industrial,cents per kilowatthour,Feb,18.79,0.082775577,0.172790602
California,Blue,industrial,cents per kilowatthour,Mar,19.68,0.094948097,0.227750865
California,Blue,industrial,cents per kilowatthour,Apr,19.38,0.100897971,0.298027293
California,Blue,industrial,cents per kilowatthour,May,21.6,0.09834884,0.333049404
California,Blue,industrial,cents per kilowatthour,Jun,22.81,0.083023615,0.313682886
California,Blue,industrial,cents per kilowatthour,Jul,26.13,0.05133345,0.238582883
California,Blue,industrial,cents per kilowatthour,Aug,25.09,0.05759311,0.251384222
California,Blue,industrial,cents per kilowatthour,Sep,24.61,0.055628993,0.248898436
California,Blue,industrial,cents per kilowatthour,Oct,24.04,0.067768497,0.226763817
California,Blue,industrial,cents per kilowatthour,Nov,19.18,0.083434705,0.201359571
California,Blue,industrial,cents per kilowatthour,Dec,19.8,0.075504283,0.180022106
California,Blue,residential,cents per kilowatthour,Jan,29.53,0.062746048,0.131366967
California,Blue,residential,cents per kilowatthour,Feb,31.28,0.082775577,0.172790602
California,Blue,residential,cents per kilowatthour,Mar,32.53,0.094948097,0.227750865
California,Blue,residential,cents per kilowatthour,Apr,34.32,0.100897971,0.298027293
California,Blue,residential,cents per kilowatthour,May,34.36,0.09834884,0.333049404
California,Blue,residential,cents per kilowatthour,Jun,33.07,0.083023615,0.313682886
California,Blue,residential,cents per kilowatthour,Jul,32.61,0.05133345,0.238582883
California,Blue,residential,cents per kilowatthour,Aug,31.1,0.05759311,0.251384222
California,Blue,residential,cents per kilowatthour,Sep,31.7,0.055628993,0.248898436
California,Blue,residential,cents per kilowatthour,Oct,30.27,0.067768497,0.226763817
California,Blue,residential,cents per kilowatthour,Nov,32.73,0.083434705,0.201359571
California,Blue,residential,cents per kilowatthour,Dec,30.55,0.075504283,0.180022106
Colorado,Blue,all sectors,cents per kilowatthour,Jan,11.6,0.2407093,0.049801924
Colorado,Blue,all sectors,cents per kilowatthour,Feb,11.69,0.292881909,0.063634509
Colorado,Blue,all sectors,cents per kilowatthour,Mar,11.43,0.332228666,0.086785418
Colorado,Blue,all sectors,cents per kilowatthour,Apr,11.81,0.40196802,0.109471095
Colorado,Blue,all sectors,cents per kilowatthour,May,11.77,0.374540441,0.115119485
Colorado,Blue,all sectors,cents per kilowatthour,Jun,12.96,0.289710673,0.100785591
Colorado,Blue,all sectors,cents per kilowatthour,Jul,12.96,0.215682819,0.097268722
Colorado,Blue,all sectors,cents per kilowatthour,Aug,12.96,0.240594605,0.093044595
Colorado,Blue,all sectors,cents per kilowatthour,Sep,12.88,0.296845624,0.097138082
Colorado,Blue,all sectors,cents per kilowatthour,Oct,12.04,0.354882155,0.085072952
Colorado,Blue,all sectors,cents per kilowatthour,Nov,12.04,0.319504778,0.058427454
Colorado,Blue,all sectors,cents per kilowatthour,Dec,11.91,0.316466371,0.053974278
Colorado,Blue,commercial,cents per kilowatthour,Jan,10.99,0.2407093,0.049801924
Colorado,Blue,commercial,cents per kilowatthour,Feb,10.98,0.292881909,0.063634509
Colorado,Blue,commercial,cents per kilowatthour,Mar,10.96,0.332228666,0.086785418
Colorado,Blue,commercial,cents per kilowatthour,Apr,11.51,0.40196802,0.109471095
Colorado,Blue,commercial,cents per kilowatthour,May,11.56,0.374540441,0.115119485
Colorado,Blue,commercial,cents per kilowatthour,Jun,13.03,0.289710673,0.100785591
Colorado,Blue,commercial,cents per kilowatthour,Jul,12.83,0.215682819,0.097268722
Colorado,Blue,commercial,cents per kilowatthour,Aug,12.59,0.240594605,0.093044595
Colorado,Blue,commercial,cents per kilowatthour,Sep,12.62,0.296845624,0.097138082
Colorado,Blue,commercial,cents per kilowatthour,Oct,11.62,0.354882155,0.085072952
Colorado,Blue,commercial,cents per kilowatthour,Nov,11.85,0.319504778,0.058427454
Colorado,Blue,commercial,cents per kilowatthour,Dec,11.12,0.316466371,0.053974278
Colorado,Blue,industrial,cents per kilowatthour,Jan,8.32,0.2407093,0.049801924
Colorado,Blue,industrial,cents per kilowatthour,Feb,8.69,0.292881909,0.063634509
Colorado,Blue,industrial,cents per kilowatthour,Mar,8.24,0.332228666,0.086785418
Colorado,Blue,industrial,cents per kilowatthour,Apr,8.84,0.40196802,0.109471095
Colorado,Blue,industrial,cents per kilowatthour,May,8.68,0.374540441,0.115119485
Colorado,Blue,industrial,cents per kilowatthour,Jun,9.48,0.289710673,0.100785591
Colorado,Blue,industrial,cents per kilowatthour,Jul,9.16,0.215682819,0.097268722
Colorado,Blue,industrial,cents per kilowatthour,Aug,9.18,0.240594605,0.093044595
Colorado,Blue,industrial,cents per kilowatthour,Sep,9.24,0.296845624,0.097138082
Colorado,Blue,industrial,cents per kilowatthour,Oct,8.55,0.354882155,0.085072952
Colorado,Blue,industrial,cents per kilowatthour,Nov,8.23,0.319504778,0.058427454
Colorado,Blue,industrial,cents per kilowatthour,Dec,8.6,0.316466371,0.053974278
Colorado,Blue,residential,cents per kilowatthour,Jan,14.35,0.2407093,0.049801924
Colorado,Blue,residential,cents per kilowatthour,Feb,14.53,0.292881909,0.063634509
Colorado,Blue,residential,cents per kilowatthour,Mar,14.54,0.332228666,0.086785418
Colorado,Blue,residential,cents per kilowatthour,Apr,14.67,0.40196802,0.109471095
Colorado,Blue,residential,cents per kilowatthour,May,14.63,0.374540441,0.115119485
Colorado,Blue,residential,cents per kilowatthour,Jun,15.14,0.289710673,0.100785591
Colorado,Blue,residential,cents per kilowatthour,Jul,15.38,0.215682819,0.097268722
Colorado,Blue,residential,cents per kilowatthour,Aug,15.56,0.240594605,0.093044595
Colorado,Blue,residential,cents per kilowatthour,Sep,15.68,0.296845624,0.097138082
Colorado,Blue,residential,cents per kilowatthour,Oct,15.41,0.354882155,0.085072952
Colorado,Blue,residential,cents per kilowatthour,Nov,15.16,0.319504778,0.058427454
Colorado,Blue,residential,cents per kilowatthour,Dec,15.16,0.316466371,0.053974278
Connecticut,Blue,all sectors,cents per kilowatthour,Jan,23.78,0.000289017,0.004913295
Connecticut,Blue,all sectors,cents per kilowatthour,Feb,24.71,0.000299222,0.009275883
Connecticut,Blue,all sectors,cents per kilowatthour,Mar,24.03,0.000268097,0.010991957
Connecticut,Blue,all sectors,cents per kilowatthour,Apr,24.24,0.000311042,0.014307932
Connecticut,Blue,all sectors,cents per kilowatthour,May,22.14,0.000296209,0.015699052
Connecticut,Blue,all sectors,cents per kilowatthour,Jun,22.11,0.000259067,0.014507772
Connecticut,Blue,all sectors,cents per kilowatthour,Jul,23.91,0,0.011778029
Connecticut,Blue,all sectors,cents per kilowatthour,Aug,25.73,0.000234412,0.011954993
Connecticut,Blue,all sectors,cents per kilowatthour,Sep,27.14,0,0.012593017
Connecticut,Blue,all sectors,cents per kilowatthour,Oct,25.33,0.000304692,0.013101767
Connecticut,Blue,all sectors,cents per kilowatthour,Nov,25.18,0.000265887,0.007976602
Connecticut,Blue,all sectors,cents per kilowatthour,Dec,25.6,0.000250752,0.006268806
Connecticut,Blue,commercial,cents per kilowatthour,Jan,20.48,0.000289017,0.004913295
Connecticut,Blue,commercial,cents per kilowatthour,Feb,20.83,0.000299222,0.009275883
Connecticut,Blue,commercial,cents per kilowatthour,Mar,20.28,0.000268097,0.010991957
Connecticut,Blue,commercial,cents per kilowatthour,Apr,20.74,0.000311042,0.014307932
Connecticut,Blue,commercial,cents per kilowatthour,May,19.42,0.000296209,0.015699052
Connecticut,Blue,commercial,cents per kilowatthour,Jun,19.28,0.000259067,0.014507772
Connecticut,Blue,commercial,cents per kilowatthour,Jul,20.09,0,0.011778029
Connecticut,Blue,commercial,cents per kilowatthour,Aug,22.43,0.000234412,0.011954993
Connecticut,Blue,commercial,cents per kilowatthour,Sep,23.55,0,0.012593017
Connecticut,Blue,commercial,cents per kilowatthour,Oct,23.1,0.000304692,0.013101767
Connecticut,Blue,commercial,cents per kilowatthour,Nov,22.87,0.000265887,0.007976602
Connecticut,Blue,commercial,cents per kilowatthour,Dec,23.4,0.000250752,0.006268806
Connecticut,Blue,industrial,cents per kilowatthour,Jan,16.88,0.000289017,0.004913295
Connecticut,Blue,industrial,cents per kilowatthour,Feb,17.45,0.000299222,0.009275883
Connecticut,Blue,industrial,cents per kilowatthour,Mar,16.17,0.000268097,0.010991957
Connecticut,Blue,industrial,cents per kilowatthour,Apr,16.09,0.000311042,0.014307932
Connecticut,Blue,industrial,cents per kilowatthour,May,15.58,0.000296209,0.015699052
Connecticut,Blue,industrial,cents per kilowatthour,Jun,15.46,0.000259067,0.014507772
Connecticut,Blue,industrial,cents per kilowatthour,Jul,17.18,0,0.011778029
Connecticut,Blue,industrial,cents per kilowatthour,Aug,17.67,0.000234412,0.011954993
Connecticut,Blue,industrial,cents per kilowatthour,Sep,19.76,0,0.012593017
Connecticut,Blue,industrial,cents per kilowatthour,Oct,17.6,0.000304692,0.013101767
Connecticut,Blue,industrial,cents per kilowatthour,Nov,18.15,0.000265887,0.007976602
Connecticut,Blue,industrial,cents per kilowatthour,Dec,19.9,0.000250752,0.006268806
Connecticut,Blue,residential,cents per kilowatthour,Jan,27.41,0.000289017,0.004913295
Connecticut,Blue,residential,cents per kilowatthour,Feb,29.52,0.000299222,0.009275883
Connecticut,Blue,residential,cents per kilowatthour,Mar,29.12,0.000268097,0.010991957
Connecticut,Blue,residential,cents per kilowatthour,Apr,29.57,0.000311042,0.014307932
Connecticut,Blue,residential,cents per kilowatthour,May,26.73,0.000296209,0.015699052
Connecticut,Blue,residential,cents per kilowatthour,Jun,25.98,0.000259067,0.014507772
Connecticut,Blue,residential,cents per kilowatthour,Jul,28,0,0.011778029
Connecticut,Blue,residential,cents per kilowatthour,Aug,29.96,0.000234412,0.011954993
Connecticut,Blue,residential,cents per kilowatthour,Sep,33.04,0,0.012593017
Connecticut,Blue,residential,cents per kilowatthour,Oct,29.99,0.000304692,0.013101767
Connecticut,Blue,residential,cents per kilowatthour,Nov,29.18,0.000265887,0.007976602
Connecticut,Blue,residential,cents per kilowatthour,Dec,28.16,0.000250752,0.006268806
Delaware,Blue,all sectors,cents per kilowatthour,Jan,13.18,0,0.021276596
Delaware,Blue,all sectors,cents per kilowatthour,Feb,13.18,0,0.043859649
Delaware,Blue,all sectors,cents per kilowatthour,Mar,13.52,0,0.122807018
Delaware,Blue,all sectors,cents per kilowatthour,Apr,14.03,0,0.052238806
Delaware,Blue,all sectors,cents per kilowatthour,May,13.07,0,0.095541401
Delaware,Blue,all sectors,cents per kilowatthour,Jun,13.01,0,0.041758242
Delaware,Blue,all sectors,cents per kilowatthour,Jul,13.28,0,0.028616852
Delaware,Blue,all sectors,cents per kilowatthour,Aug,13.24,0,0.045212766
Delaware,Blue,all sectors,cents per kilowatthour,Sep,13.41,0,0.053030303
Delaware,Blue,all sectors,cents per kilowatthour,Oct,13.84,0,0.038674033
Delaware,Blue,all sectors,cents per kilowatthour,Nov,13.79,0,0.047368421
